iteration,total_loss,pde_loss,bc_loss,ic_loss,lr,time_elapsed_s
1,0.7204922437667847,0.005384854506701231,0.7151073813438416,0.0,0.001,0.50
100,0.5220708250999451,0.014249598607420921,0.5078212022781372,0.0,0.001,51.28
200,0.3420239984989166,0.05202985554933548,0.28999415040016174,0.0,0.001,102.63
300,0.2919183373451233,0.04486191272735596,0.24705642461776733,0.0,0.001,152.53
400,0.261198490858078,0.038642995059490204,0.2225554883480072,0.0,0.001,202.43
500,0.24376268684864044,0.038865577429533005,0.20489710569381714,0.0,0.001,252.97
600,0.24789614975452423,0.023063618689775467,0.22483253479003906,0.0,0.001,303.34
700,0.18386328220367432,0.021561048924922943,0.16230224072933197,0.0,0.001,353.17
800,0.16812941431999207,0.02881566248834133,0.13931375741958618,0.0,0.001,402.85
900,0.14307308197021484,0.02984975092113018,0.11322333663702011,0.0,0.001,452.74
1000,0.13849903643131256,0.030052276328206062,0.10844676196575165,0.0,0.001,503.85
1100,0.1175750195980072,0.027696315199136734,0.08987870067358017,0.0,0.001,554.93
1200,0.09390271455049515,0.022565066814422607,0.07133764773607254,0.0,0.001,605.65
1300,0.06728474050760269,0.012940782122313976,0.05434396117925644,0.0,0.001,657.05
1400,0.04226302355527878,0.008151624351739883,0.034111399203538895,0.0,0.001,708.38
1500,0.029136236757040024,0.0059387823566794395,0.02319745346903801,0.0,0.001,759.12
1600,0.020391568541526794,0.0043609170243144035,0.016030650585889816,0.0,0.001,810.01
1700,0.017107311636209488,0.003444606438279152,0.013662705197930336,0.0,0.001,860.83
1800,0.042830660939216614,0.006883321329951286,0.03594734147191048,0.0,0.001,912.09
1900,0.010347969830036163,0.002245732583105564,0.0081022372469306,0.0,0.001,963.19
2000,0.009005066007375717,0.0019615264609456062,0.007043539546430111,0.0,0.001,1014.14
2100,0.00911869015544653,0.0025314590893685818,0.006587231066077948,0.0,0.001,1064.85
2200,0.005846930667757988,0.0016518617048859596,0.004195068962872028,0.0,0.001,1115.65
2300,0.004985016770660877,0.0013929354026913643,0.0035920811351388693,0.0,0.001,1166.85
