step,loss_total,loss_pde,loss_bc,loss_ic,rel_l2
0,1.188536e+02,1.188536e+02,0.000000e+00,0.000000e+00,1.005047e+00
200,6.865318e-01,6.865318e-01,0.000000e+00,0.000000e+00,9.721467e-02
400,4.154351e-02,4.154351e-02,0.000000e+00,0.000000e+00,2.590268e-02
600,1.204900e-02,1.204900e-02,0.000000e+00,0.000000e+00,1.299671e-02
800,5.806841e-03,5.806841e-03,0.000000e+00,0.000000e+00,8.494181e-03
1000,3.437697e-03,3.437697e-03,0.000000e+00,0.000000e+00,6.389614e-03
1200,2.260303e-03,2.260303e-03,0.000000e+00,0.000000e+00,5.158139e-03
1400,1.590531e-03,1.590531e-03,0.000000e+00,0.000000e+00,4.330846e-03
1600,1.175848e-03,1.175848e-03,0.000000e+00,0.000000e+00,3.731134e-03
1800,9.025421e-04,9.025421e-04,0.000000e+00,0.000000e+00,3.276586e-03
2000,7.130864e-04,7.130864e-04,0.000000e+00,0.000000e+00,2.920883e-03
2200,5.761234e-04,5.761234e-04,0.000000e+00,0.000000e+00,2.634743e-03
2400,4.736538e-04,4.736538e-04,0.000000e+00,0.000000e+00,2.398675e-03
2600,3.948642e-04,3.948642e-04,0.000000e+00,0.000000e+00,2.199502e-03
2800,3.329402e-04,3.329402e-04,0.000000e+00,0.000000e+00,2.028278e-03
3000,1.041320e-03,1.041320e-03,0.000000e+00,0.000000e+00,2.012150e-03
