step,loss_total,loss_pde,loss_bc,loss_ic,rel_l2
0,2.088620e+00,1.139448e-02,3.653666e-03,2.073572e-01,7.976730e-01
200,5.580516e-01,6.740676e-02,3.957921e-02,4.510656e-02,4.868694e-01
400,3.329596e-01,4.002930e-02,4.652388e-02,2.464064e-02,5.333704e-01
600,2.491334e-01,1.354898e-02,6.160097e-02,1.739834e-02,6.089795e-01
800,2.148076e-01,8.976690e-03,5.770322e-02,1.481276e-02,6.426332e-01
1000,1.890663e-01,9.670377e-03,5.505354e-02,1.243424e-02,5.860314e-01
1200,1.670582e-01,9.288269e-03,5.066998e-02,1.070999e-02,5.542906e-01
1400,1.455752e-01,8.990523e-03,4.339969e-02,9.318496e-03,5.110481e-01
1600,2.546952e-01,1.016815e-01,3.061781e-02,1.223959e-02,5.806962e-01
1800,1.111613e-01,9.531207e-03,3.219720e-02,6.943285e-03,4.393030e-01
2000,9.875953e-02,9.742584e-03,2.807945e-02,6.093750e-03,4.055206e-01
2200,8.908356e-02,9.677382e-03,2.450401e-02,5.490216e-03,3.738258e-01
2400,8.098274e-02,1.143188e-02,2.053168e-02,4.901919e-03,3.489335e-01
