step,total_loss,pde_loss,bc_loss,ic_loss,lr,wall_s
200,0.20790113508701324,0.1786564737558365,3.347808524267748e-05,0.002890988253057003,0.0009998914383200475,2.13
400,0.1715819239616394,0.14744460582733154,1.1439544323366135e-05,0.002402292564511299,0.0009995658008989348,4.2
600,0.15140284597873688,0.13008341193199158,7.260127858899068e-06,0.0021246839314699173,0.0009990232305719948,6.26
800,0.10424095392227173,0.0891413688659668,8.983179213828407e-06,0.0015009751077741385,0.0009982639653285043,8.34
1000,0.22374793887138367,0.18638195097446442,0.0009393843938596547,0.0027972152456641197,0.0009972883382072955,10.4
1200,0.01871989108622074,0.015798190608620644,8.351810720341746e-06,0.000283818255411461,0.0009960967771506677,12.47
1400,0.010229384526610374,0.008762809447944164,6.100761765992502e-06,0.0001405567891197279,0.0009946898048166792,14.53
1600,0.0057690879330039024,0.00503556290641427,4.906195044895867e-06,6.844629388069734e-05,0.0009930680383498996,16.6
1800,0.003749702824279666,0.003317686263471842,3.927967554773204e-06,3.927369471057318e-05,0.0009912321891106988,18.66
2000,0.0026559215039014816,0.0024138770531862974,2.5734793780429754e-06,2.163096360163763e-05,0.0009891830623632314,20.73
2200,0.0030010445043444633,0.002751269144937396,3.815779109572759e-06,2.1161764379939996e-05,0.0009869215569222119,22.8
2400,0.0018589014653116465,0.0017418055795133114,2.5535805434628855e-06,9.156003216048703e-06,0.0009844486647586602,24.86
2600,0.005730737466365099,0.005216937977820635,1.025323126668809e-05,4.112673195777461e-05,0.0009817654705648192,26.94
2800,0.0016753191594034433,0.0015696811024099588,1.7671894738668925e-06,8.796618203632534e-06,0.0009788731512783407,29.0
3000,0.0066338470205664635,0.005696571432054043,2.446023245283868e-05,6.926732748979703e-05,0.0009757729755660607,31.07
3200,0.0008810831932350993,0.0008288746466860175,9.912611176332575e-07,4.2295941966585815e-06,0.0009724663032675126,33.14
3400,0.0006585941300727427,0.00062408740632236,8.41288965602871e-07,2.6093839551322162e-06,0.0009689545847984465,35.2
3600,0.001224774052388966,0.0011435801861807704,5.1292809075675905e-06,2.99010412163625e-06,0.0009652393605146439,37.27
3800,0.0006948725786060095,0.0006597887258976698,1.968637661775574e-06,1.5397515653603477e-06,0.0009613222600362674,39.34
4000,0.00062643236014992,0.0005421171081252396,4.2091710383829195e-06,4.2223527998430654e-06,0.0009572050015330473,41.4
4200,0.0006835848325863481,0.0006307945004664361,1.2287910067243502e-06,4.050237293995451e-06,0.0009528893909706397,43.47
4400,0.0005394775653257966,0.000490746577270329,1.9415899714658735e-06,2.931506287495722e-06,0.0009483773213184694,45.54
4600,0.00266676745377481,0.002471010433509946,6.601237600989407e-06,1.297446488024434e-05,0.000943670771719413,47.6
4800,0.004382504150271416,0.004190958105027676,1.1957713468291331e-05,7.196866590675199e-06,0.0009387718066216741,49.67
5000,0.0003319720271974802,0.0003157709143124521,3.9910321447678143e-07,1.2210084605612792e-06,0.0009336825748732588,51.74
5200,0.0011531022610142827,0.0010609672171995044,5.53150084670051e-06,3.6820110835833475e-06,0.0009284053087794135,53.8
5400,0.0002489029138814658,0.00023704775958321989,4.225839802529663e-07,7.629305400769226e-07,0.0009229423231234609,55.87
5600,0.00030261737992987037,0.0002746655372902751,1.141078541877505e-06,1.6541057448193897e-06,0.0009172960141514639,57.94
5800,0.005499114282429218,0.005156883038580418,2.622743159008678e-05,7.995673513505608e-06,0.0009114688585211473,60.0
6000,0.000320831430144608,0.0002818134380504489,1.8986977465829113e-06,2.003100235015154e-06,0.0009054634122155626,62.07
6200,0.00033415958750993013,0.0003171678108628839,3.670192256777227e-07,1.3321583764991374e-06,0.0008992823094219411,64.13
6400,0.00023814808810129762,0.00022986129624769092,2.868718524950964e-07,5.418073101282062e-07,0.0008929282613762547,66.2
6600,0.0002101469726767391,0.00020297915034461766,2.5864923713925236e-07,4.581343091558665e-07,0.0008864040551739799,68.27
6800,0.00023082076222635806,0.00022086953686084598,3.445404956892162e-07,6.50583046990505e-07,0.0008797125525475843,70.34
7000,0.00018735167395789176,0.00017708918312564492,2.837450665538199e-07,7.425041985698044e-07,0.0008728566886112756,72.4
7200,0.012696119025349617,0.011866453103721142,3.1736686651129276e-05,5.122994480188936e-05,0.0008658394705735646,74.47
7400,0.00269645219668746,0.002395962830632925,1.7462869436712936e-05,1.2586090633703861e-05,0.0008586639764182031,76.54
7600,0.00027138879522681236,0.0002562323061283678,8.041182013585058e-07,7.115303901628067e-07,0.0008513333535540821,78.61
7800,0.00029199360869824886,0.00027412502095103264,1.2621478617802495e-06,5.247089802651317e-07,0.0008438508174346674,80.68
8000,0.0006573982536792755,0.0005788211128674448,2.082060291286325e-06,5.7756533351494e-06,0.0008362196501476017,82.74
8200,0.0007723109447397292,0.0006484102341346443,6.965894499444403e-06,5.424180017143954e-06,0.000828443198975069,84.81
8400,0.0004401326004881412,0.0003910835657734424,3.6956726034986787e-06,1.2092334600311005e-06,0.000820524874925569,86.88
8600,0.0040944041684269905,0.003295632777735591,1.9501805581967346e-05,6.037532875780016e-05,0.0008124681512377306,88.94
8800,0.004587431438267231,0.0037304842844605446,2.023080742219463e-05,6.546394433826208e-05,0.0008042765618568429,91.01
9000,0.0008402502280659974,0.0006991610280238092,3.621260930231074e-06,1.0487658073543571e-05,0.0007959536998847418,93.07
9200,0.00018526021449360996,0.00017708411905914545,1.7701555066196306e-07,6.405945214282838e-07,0.0007875032160037626,95.14
9400,0.00013594739721156657,0.00013136598863638937,1.4166860751174681e-07,3.16472323902417e-07,0.0007789288168754247,97.2
9600,0.00030238047474995255,0.00028377448325045407,7.035928888399212e-07,1.157004930973926e-06,0.0007702342635145726,99.27
9800,0.00010820038733072579,0.00010466315143276006,1.1532549137882597e-07,2.3839794494051603e-07,0.0007614233696396686,101.33
10000,0.0001030287821777165,9.942882024915889e-05,1.313379272005477e-07,2.2865843618546933e-07,0.0007524999999999692,103.4
10200,9.64679493336007e-05,9.29450397961773e-05,1.1216418727144628e-07,2.401270364771335e-07,0.0007434680686803184,105.47
10400,0.00010717253462644294,0.00010237510286970064,1.8332376328089595e-07,2.9641986998285574e-07,0.0007343315373843013,107.53
10600,0.004840558394789696,0.0031296226661652327,0.00011290052498225123,5.819302168674767e-05,0.0007250944136965093,109.6
10800,0.0001860804040916264,0.00016872459673322737,3.053248462947522e-07,1.4302547697297996e-06,0.0007157607493246814,111.66
11000,0.0001590047322679311,0.00013506217510439456,6.14137832144479e-07,1.7801182821131079e-06,0.0007063346383224922,113.73
11200,0.0001155785794253461,9.7960903076455e-05,9.656980637373636e-07,7.960696848385851e-07,0.0006968202152937628,115.79
11400,0.00012476350821089,0.00010978473437717184,8.225754299928667e-07,6.753022034899914e-07,0.0006872216535788875,117.86
11600,0.0004903986118733883,0.00038538200897164643,7.404767984553473e-06,3.0968892588134622e-06,0.0006775431634242708,119.92
11800,8.254894055426121e-05,7.685992022743449e-05,1.8254714007071016e-07,3.8635448618151713e-07,0.0006677889901355709,121.99
12000,8.241765317507088e-05,7.656461093574762e-05,3.375921266979276e-07,2.4771196649453486e-07,0.0006579634122155719,124.05
12200,0.00044222280848771334,0.0003647508274298161,2.5607582188058586e-07,7.491121323255356e-06,0.0006480707394874858,126.11
12400,0.0002339591010240838,0.00020453004981391132,1.6649740075536101e-07,2.7764076548919547e-06,0.0006381153112045289,128.18
12600,0.00017254985868930817,0.0001548353466205299,1.427968072675867e-07,1.6286553545796778e-06,0.0006281014941465762,130.25
12800,0.00013611519534606487,0.0001245197927346453,1.303130119367779e-07,1.0292276328982553e-06,0.0006180336807047485,132.31
13000,0.0010130348382517695,0.0009088972001336515,2.5008973807416623e-06,7.912869477877393e-06,0.0006079162869547653,134.38
13200,9.189348202198744e-05,8.712898124940693e-05,1.1218241979804588e-07,3.642679189397313e-07,0.0005977537507199093,136.44
13400,0.0001001218261080794,9.386597957927734e-05,1.6205001429625554e-07,4.635345760561904e-07,0.0005875505296244472,138.51
13600,0.0009771542390808463,0.0007946050609461963,2.676204303497798e-06,1.5578716556774452e-05,0.0005773110991383703,140.57
13800,0.000601373438257724,0.0005369972204789519,4.351822099124547e-06,2.0858033167314716e-06,0.0005670399506143072,142.63
14000,0.00026364746736362576,0.0002498742542229593,6.407693717846996e-07,7.36550987312512e-07,0.0005567415893174655,144.7
14200,0.00012330860772635788,0.00011698424350470304,2.017401499188054e-07,4.306956498112413e-07,0.0005464205324494733,146.78
14400,0.00011072675988543779,9.571969712851569e-05,1.5681898446473497e-07,1.3438875612337142e-06,0.0005360813071669873,148.84
14600,0.00021468891645781696,0.00020633249368984252,4.073219486144808e-07,4.283216412659385e-07,0.0005257284485959313,150.91
14800,6.612614379264414e-05,6.2864477513358e-05,1.1571001579113727e-07,2.1045663345375942e-07,0.00051536649784224,152.97
15000,0.00025071954587474465,0.00024178894818760455,4.615264117546758e-07,4.3153542605978146e-07,0.0005049999999999787,155.04
15200,0.00019822060130536556,0.00016584349214099348,1.446882862410348e-07,3.09302276946255e-06,0.0004946335021577159,157.16
15400,0.00010484425001777709,9.270649024983868e-05,1.1248461362356466e-07,1.10129110453272e-06,0.00048427155140402084,159.27
15600,7.531253504566848e-05,6.864313763799146e-05,9.696649527768386e-08,5.699732241737365e-07,0.0004739186928329652,161.37
15800,6.129082612460479e-05,5.710702316719107e-05,8.771394277573563e-08,3.306660971702513e-07,0.0004635794675504796,163.47
16000,5.537959805224091e-05,5.222593972575851e-05,8.13546421341016e-08,2.340112814636086e-07,0.00045325841068248834,165.57
16200,5.147251795278862e-05,4.891685239272192e-05,7.704944948727643e-08,1.785170553603166e-07,0.0004429600493856469,167.66
16400,4.8966147005558014e-05,4.6644621761515737e-05,7.416763736500798e-08,1.5798488561813429e-07,0.0004326889008615844,169.75
16600,9.309204324381426e-05,8.768430416239426e-05,2.4250510932688485e-07,2.9826816216882435e-07,0.00042244947037550854,171.85
16800,4.5384491386357695e-05,4.321472442825325e-05,7.035292526325065e-08,1.4662381886410003e-07,0.000412246249280046,173.94
17000,7.941314106574282e-05,7.677181565668434e-05,1.117470986855551e-07,1.523851693718825e-07,0.00040208371304518916,176.04
17200,5.027782390243374e-05,4.729157444671728e-05,1.1421519019449988e-07,1.844099699610524e-07,0.0003919663192952065,178.15
17400,0.00034608179703354836,0.00033622924820519984,6.203837870089046e-07,3.6487224974735e-07,0.0003818985058533779,180.25
17600,9.819531987886876e-05,8.229575178120285e-05,3.1829301860852866e-07,1.271663791158062e-06,0.0003718846887954252,182.36
17800,4.639427788788453e-05,4.330089723225683e-05,1.0591106303081688e-07,2.0342687889751687e-07,0.00036192926051246895,184.47
18000,3.978278618887998e-05,3.771661067730747e-05,6.948638286985442e-08,1.371310673903281e-07,0.00035203658778438395,186.58
18200,5.30420002178289e-05,5.067593156127259e-05,5.823274307203974e-08,1.7837398047504394e-07,0.0003422110098643843,188.7
18400,4.279775021132082e-05,4.124996121390723e-05,5.592302088075485e-08,9.885602025860862e-08,0.0003324568365756848,190.82
18600,3.832696529570967e-05,3.703636321006343e-05,5.387325074934779e-08,7.51870175008662e-08,0.00032277834642106823,192.93
18800,3.583045327104628e-05,3.4637112548807636e-05,5.204146802384457e-08,6.729259638404983e-08,0.00031317978470619327,195.05
19000,3.405743700568564e-05,3.291974644525908e-05,5.037501082938434e-08,6.339382707665209e-08,0.00030366536167746386,197.16
19200,3.271931200288236e-05,3.16121440846473e-05,4.9353772624272096e-08,6.136272645562713e-08,0.0002942392506752736,199.28
19400,3.240500154788606e-05,3.117893356829882e-05,4.878767256855099e-08,7.381883193602334e-08,0.0002849055863034454,201.4
19600,0.0005436360370367765,0.00040574767626821995,4.2575834413582925e-06,9.531253454042599e-06,0.00027566846261565397,203.54
19800,3.619292692746967e-05,3.463749817456119e-05,7.241757771225821e-08,8.312518673392333e-08,0.0002665319313196365,205.68
20000,2.8856980861746706e-05,2.787019548122771e-05,4.560645550100162e-08,5.307216355276978e-08,0.0002574999999999864,207.82
20200,3.0148037694743834e-05,2.8571879738592543e-05,6.603728053278246e-08,9.157845681784238e-08,0.00024857663036028895,209.97
20400,2.7626978408079594e-05,2.661655526026152e-05,4.613685433696446e-08,5.490538157459923e-08,0.00023976573648538664,212.11
20600,3.5565706639317796e-05,3.299806121503934e-05,8.204021639812709e-08,1.7472464719503478e-07,0.0002310711831245354,214.26
20800,2.673636845429428e-05,2.557356310717296e-05,4.819474597184126e-08,6.808586761053448e-08,0.00022249678399619726,216.4
21000,2.5525236196699552e-05,2.4631179257994518e-05,4.3550162587280283e-08,4.585542967561196e-08,0.0002140463001152174,218.56
21200,2.966600368381478e-05,2.8682625270448625e-05,4.970621247935014e-08,4.8631562776790815e-08,0.0002057234381431165,220.71
21400,3.4547851100796834e-05,3.088330413447693e-05,2.656619813024008e-07,1.0079284606945293e-07,0.0001975318487622288,222.86
21600,3.289626693003811e-05,2.92114546027733e-05,2.425737761768687e-07,1.2590750486651814e-07,0.0001894751250743913,225.01
21800,2.5857865693978965e-05,2.4412460334133357e-05,9.655160226884618e-08,4.798886976686845e-08,0.00018155680102489093,227.17
22000,4.7599172830814496e-05,3.814210867858492e-05,6.396284106813255e-07,3.060779079078202e-07,0.00017378034985235854,229.32
22200,4.3184270907659084e-05,3.756901787710376e-05,2.2107188613063045e-07,3.404532549211581e-07,0.00016614918256529276,231.48
22400,2.349772876186762e-05,2.2216585421119817e-05,7.027840354112413e-08,5.7835837452557826e-08,0.00015866664644587818,233.64
22600,2.420254713797476e-05,2.2797181372880004e-05,5.9095093263294984e-08,8.144140650756526e-08,0.00015133602358175652,235.8
22800,2.3619400963070802e-05,2.2203787011676468e-05,7.071742658126823e-08,7.084393871537031e-08,0.00014416052942639576,237.96
23000,2.042714368144516e-05,1.951426202140283e-05,4.7313701401208164e-08,4.3974502261789894e-08,0.00013714331138868466,240.12
23200,1.9637671357486397e-05,1.8885453755501658e-05,3.900337475215565e-08,3.6218501975326944e-08,0.00013028744745237608,242.28
23400,1.9439306925050914e-05,1.861040072981268e-05,4.4415990885227075e-08,3.847450358307469e-08,0.00012359594482598123,244.44
23600,1.9112843801849522e-05,1.8274244212079793e-05,3.8480720832012594e-08,4.537927722481072e-08,0.00011707173862370669,246.61
23800,5.038302333559841e-05,4.551268648356199e-05,2.6560957167021115e-07,2.2142420164072973e-07,0.00011071769057802055,248.77
24000,2.1835678126080893e-05,2.046838926617056e-05,7.823604164514109e-08,5.8492922505593015e-08,0.00010453658778439875,250.94
24200,2.2385451302397996e-05,2.1615083824144676e-05,2.5003073389484598e-08,5.20337373188795e-08,9.85311414788144e-05,253.11
24400,2.080486410704907e-05,2.008498995564878e-05,2.3462241927063587e-08,4.852525492538007e-08,9.270398584849883e-05,255.28
24600,1.9872035409207456e-05,1.9184026314178482e-05,2.2616916339757154e-08,4.618403082190525e-08,8.705767687650084e-05,257.45
24800,1.9179313312633894e-05,1.851493288995698e-05,2.2064552851475128e-08,4.4373578589329554e-08,8.159469122054755e-05,259.61
25000,1.8612714484333992e-05,1.7967568055610172e-05,2.1656322957142038e-08,4.2858392390598965e-08,7.63174251267014e-05,261.78
25200,1.812367918319069e-05,1.7494885469204746e-05,2.133367971168809e-08,4.154567179170954e-08,7.122819337828606e-05,263.95
25400,1.7687554645817727e-05,1.7073500202968717e-05,2.1049304521625345e-08,4.035609535435469e-08,6.632922828054812e-05,266.13
25600,1.729009636619594e-05,1.6689609765307978e-05,2.0785071441764558e-08,3.9263532869426854e-08,6.162267868149063e-05,268.29
25800,1.6923404473345727e-05,1.6335485270246863e-05,2.0544161927205096e-08,3.8247677025537996e-08,5.7110609029320526e-05,270.46
26000,1.6581594536546618e-05,1.600557516212575e-05,2.0314010029665042e-08,3.7287925636064756e-08,5.2794998466912634e-05,272.63
26200,1.6260151824099012e-05,1.5695468391641043e-05,2.008903621231184e-08,3.637921963672852e-08,4.8677739963692406e-05,274.8
26400,1.5957642972352915e-05,1.54039134940831e-05,1.9872809176035844e-08,3.550008642605462e-08,4.476063948531563e-05,276.96
26600,1.567038088978734e-05,1.5127044207474682e-05,1.9662692807287385e-08,3.4671089110815956e-08,4.104541520151382e-05,279.13
26800,1.5407067621708848e-05,1.4874121006869245e-05,1.94197173897237e-08,3.3874918869969406e-08,3.753369673244722e-05,281.29
27000,1.514239647804061e-05,1.4618310160585679e-05,1.9275468332580203e-08,3.313320462439151e-08,3.4227024433899676e-05,283.45
27200,2.1080264559714124e-05,2.0609608327504247e-05,1.859644527257842e-08,2.8469196777791694e-08,3.112684872162766e-05,285.62
27400,1.9509903722791933e-05,1.905740464280825e-05,1.840449037615599e-08,2.6845343725767634e-08,2.8234529435160346e-05,287.78
27600,1.8736647689365782e-05,1.8294344044988975e-05,1.833006280094196e-08,2.5900167344161673e-08,2.555133524132892e-05,289.93
27800,1.8221433492726646e-05,1.7785387171898037e-05,1.8285936320694418e-08,2.531876930333965e-08,2.307844307778673e-05,292.09
28000,1.7825979739427567e-05,1.7394324459019117e-05,1.8231130383128402e-08,2.4934255549169393e-08,2.081693763676713e-05,294.25
28200,1.75000950548565e-05,1.707173760223668e-05,1.8182793937171482e-08,2.4652909047517824e-08,1.876781088929981e-05,296.41
28400,1.7218864741153084e-05,1.679328124737367e-05,1.8122218392591094e-08,2.4436193513110993e-08,1.693196165010066e-05,298.56
28600,1.6969222997431643e-05,1.6546062397537753e-05,1.8054507222586835e-08,2.4261472830744424e-08,1.5310195183321204e-05,300.72
28800,1.6742103980504908e-05,1.632108433113899e-05,1.7986703682026928e-08,2.4115180963235616e-08,1.3903222849333817e-05,302.88
29000,1.653148137847893e-05,1.611254810995888e-05,1.7911867544739835e-08,2.398141418780142e-08,1.271166179270489e-05,305.03
29200,1.6333207895513624e-05,1.591625186847523e-05,1.7832528342864862e-08,2.3863076847874254e-08,1.1736034671495481e-05,307.2
29400,1.6142739696078934e-05,1.5727635400253348e-05,1.775395830350135e-08,2.3756498990223918e-08,1.0976769428005658e-05,309.35
29600,1.5955924027366564e-05,1.5542827895842493e-05,1.7664342877310446e-08,2.3645231550517565e-08,1.043419910106514e-05,311.5
29800,1.5768846424180083e-05,1.5357725715148263e-05,1.7574310007262284e-08,2.353767136753504e-08,1.0108561679951492e-05,313.64
30000,1.557782343297731e-05,1.5168797290243674e-05,1.747897826476219e-08,2.342361327123399e-08,1e-05,315.79
