step,total_loss,pde_loss,bc_loss,ic_loss,lr,wall_s
100,9.328986167907715,9.328986167907715,0.0,0.0,0.0009999389330784226,0.58
200,8.219120025634766,8.219120025634766,0.0,0.0,0.0009997557473810374,1.17
300,4.3488593101501465,4.3488593101501465,0.0,0.0,0.0009994504881061764,1.75
400,0.501388669013977,0.501388669013977,0.0,0.0,0.0009990232305719968,2.33
500,0.03200223669409752,0.03200223669409752,0.0,0.0,0.0009984740801979007,2.91
600,0.013040248304605484,0.013040248304605484,0.0,0.0,0.0009978031724785265,3.49
700,0.0071776206605136395,0.0071776206605136395,0.0,0.0,0.000997010672950316,4.07
800,0.004511001519858837,0.004511001519858837,0.0,0.0,0.000996096777150669,4.65
900,0.0031959721818566322,0.0031959721818566322,0.0,0.0,0.0009950617105696992,5.23
1000,0.0024649142287671566,0.0024649142287671566,0.0,0.0,0.0009939057285945968,5.81
1100,0.002005238551646471,0.002005238551646471,0.0,0.0,0.0009926291164466159,6.38
1200,0.0016827898798510432,0.0016827898798510432,0.0,0.0,0.0009912321891107038,6.96
1300,0.0014352698344737291,0.0014352698344737291,0.0,0.0,0.0009897152912577763,7.54
1400,0.001234323251992464,0.001234323251992464,0.0,0.0,0.0009880787971596815,8.12
1500,0.0010661358246579766,0.0010661358246579766,0.0,0.0,0.0009863231105968519,8.7
1600,0.0009248025016859174,0.0009248025016859174,0.0,0.0,0.000984448664758669,9.28
1700,0.0008008517324924469,0.0008008517324924469,0.0,0.0,0.0009824559221366018,9.86
1800,0.0006963943014852703,0.0006963943014852703,0.0,0.0,0.0009803453744100738,10.44
1900,0.0006037079729139805,0.0006037079729139805,0.0,0.0,0.0009781175423251554,11.01
2000,0.0005378121859394014,0.0005378121859394014,0.0,0.0,0.0009757729755660803,11.59
2100,0.00045830849558115005,0.00045830849558115005,0.0,0.0,0.0009733122526196142,12.16
2200,0.0004293386300560087,0.0004293386300560087,0.0,0.0,0.0009707359806323206,12.74
2300,0.00035008558188565075,0.00035008558188565075,0.0,0.0,0.0009680447952607636,13.32
2400,0.006224342156201601,0.006224342156201601,0.0,0.0,0.0009652393605146641,13.9
2500,0.0002705960359890014,0.0002705960359890014,0.0,0.0,0.000962320368593067,14.48
2600,0.00023914985649753362,0.00023914985649753362,0.0,0.0,0.0009592885397135511,15.06
2700,0.0005292134592309594,0.0005292134592309594,0.0,0.0,0.0009561446219345261,15.64
2800,0.0001896092144306749,0.0001896092144306749,0.0,0.0,0.0009528893909706607,16.22
2900,0.00017013413889799267,0.00017013413889799267,0.0,0.0,0.0009495236500014861,16.8
3000,0.00026231654919683933,0.00026231654919683933,0.0,0.0,0.0009460482294732238,17.38
3100,0.00013962527737021446,0.00013962527737021446,0.0,0.0,0.0009424639868938849,17.96
3200,0.0001275948015972972,0.0001275948015972972,0.0,0.0,0.0009387718066216949,18.54
3300,0.00011749222176149487,0.00011749222176149487,0.0,0.0,0.0009349725996468866,19.12
3400,0.00010872027633013204,0.00010872027633013204,0.0,0.0,0.000931067303366934,19.7
3500,0.00010063821537187323,0.00010063821537187323,0.0,0.0,0.0009270568813552582,20.28
3600,0.0001898645277833566,0.0001898645277833566,0.0,0.0,0.0009229423231234799,20.86
3700,8.821939991321415e-05,8.821939991321415e-05,0.0,0.0,0.000918724643877276,21.44
3800,8.283587521873415e-05,8.283587521873415e-05,0.0,0.0,0.0009144048842658908,22.02
3900,9.452766244066879e-05,9.452766244066879e-05,0.0,0.0,0.0009099841101253696,22.6
4000,7.428602839354426e-05,7.428602839354426e-05,0.0,0.0,0.0009054634122155817,23.17
4100,7.290435314644128e-05,7.290435314644128e-05,0.0,0.0,0.0009008439059510924,23.75
4200,6.897714047227055e-05,6.897714047227055e-05,0.0,0.0,0.0008961267311259493,24.33
4300,6.938436854397878e-05,6.938436854397878e-05,0.0,0.0,0.0008913130516324556,24.91
4400,6.36902404949069e-05,6.36902404949069e-05,0.0,0.0,0.0008864040551739975,25.48
4500,5.984987728879787e-05,5.984987728879787e-05,0.0,0.0,0.0008814009529719979,26.06
4600,0.007045886479318142,0.007045886479318142,0.0,0.0,0.0008763049794670604,26.64
4700,5.528168549062684e-05,5.528168549062684e-05,0.0,0.0,0.0008711173920143944,27.22
4800,5.285268707666546e-05,5.285268707666546e-05,0.0,0.0,0.0008658394705735819,27.8
4900,0.014378681778907776,0.014378681778907776,0.0,0.0,0.0008604725173927617,28.38
