step,total_loss,pde_loss,bc_loss,ic_loss,lr,wall_s
100,77.02947998046875,77.02947998046875,0.0,0.0,0.0009999389330784226,1.48
200,69.46063995361328,69.46063995361328,0.0,0.0,0.0009997557473810374,2.95
300,62.58279037475586,62.58279037475586,0.0,0.0,0.0009994504881061764,4.41
400,56.898536682128906,56.898536682128906,0.0,0.0,0.0009990232305719968,5.88
500,51.443565368652344,51.443565368652344,0.0,0.0,0.0009984740801979007,7.35
600,45.854488372802734,45.854488372802734,0.0,0.0,0.0009978031724785265,8.82
700,38.496551513671875,38.496551513671875,0.0,0.0,0.000997010672950316,10.29
800,35.20478057861328,35.20478057861328,0.0,0.0,0.000996096777150669,11.74
900,30.119173049926758,30.119173049926758,0.0,0.0,0.0009950617105696992,13.19
1000,27.08307647705078,27.08307647705078,0.0,0.0,0.0009939057285945968,14.64
1100,22.580272674560547,22.580272674560547,0.0,0.0,0.0009926291164466159,16.1
1200,20.150787353515625,20.150787353515625,0.0,0.0,0.0009912321891107038,17.55
1300,18.34756088256836,18.34756088256836,0.0,0.0,0.0009897152912577763,19.0
1400,16.13707160949707,16.13707160949707,0.0,0.0,0.0009880787971596815,20.45
1500,14.482348442077637,14.482348442077637,0.0,0.0,0.0009863231105968519,21.9
1600,13.138870239257812,13.138870239257812,0.0,0.0,0.000984448664758669,23.35
1700,11.713604927062988,11.713604927062988,0.0,0.0,0.0009824559221366018,24.81
1800,10.634765625,10.634765625,0.0,0.0,0.0009803453744100738,26.26
1900,9.737079620361328,9.737079620361328,0.0,0.0,0.0009781175423251554,27.71
2000,8.882492065429688,8.882492065429688,0.0,0.0,0.0009757729755660803,29.16
2100,18.852190017700195,18.852190017700195,0.0,0.0,0.0009733122526196142,30.63
2200,17.7269287109375,17.7269287109375,0.0,0.0,0.0009707359806323206,32.1
2300,16.701580047607422,16.701580047607422,0.0,0.0,0.0009680447952607636,33.57
2400,15.779516220092773,15.779516220092773,0.0,0.0,0.0009652393605146641,35.04
2500,14.95125961303711,14.95125961303711,0.0,0.0,0.000962320368593067,36.51
2600,14.184858322143555,14.184858322143555,0.0,0.0,0.0009592885397135511,37.98
2700,13.495569229125977,13.495569229125977,0.0,0.0,0.0009561446219345261,39.45
2800,12.883991241455078,12.883991241455078,0.0,0.0,0.0009528893909706607,40.9
2900,12.343069076538086,12.343069076538086,0.0,0.0,0.0009495236500014861,42.36
3000,11.858454704284668,11.858454704284668,0.0,0.0,0.0009460482294732238,43.81
3100,11.412166595458984,11.412166595458984,0.0,0.0,0.0009424639868938849,45.26
3200,11.002498626708984,11.002498626708984,0.0,0.0,0.0009387718066216949,46.71
3300,10.624884605407715,10.624884605407715,0.0,0.0,0.0009349725996468866,48.17
3400,10.273534774780273,10.273534774780273,0.0,0.0,0.000931067303366934,49.62
3500,9.950074195861816,9.950074195861816,0.0,0.0,0.0009270568813552582,51.07
3600,9.65236759185791,9.65236759185791,0.0,0.0,0.0009229423231234799,52.52
3700,9.36195182800293,9.36195182800293,0.0,0.0,0.000918724643877276,53.97
3800,9.07835865020752,9.07835865020752,0.0,0.0,0.0009144048842658908,55.42
3900,8.814277648925781,8.814277648925781,0.0,0.0,0.0009099841101253696,56.88
4000,8.5698881149292,8.5698881149292,0.0,0.0,0.0009054634122155817,58.33
4100,9.213373184204102,9.213373184204102,0.0,0.0,0.0009008439059510924,59.8
4200,8.874163627624512,8.874163627624512,0.0,0.0,0.0008961267311259493,61.27
4300,8.573749542236328,8.573749542236328,0.0,0.0,0.0008913130516324556,62.74
4400,8.282581329345703,8.282581329345703,0.0,0.0,0.0008864040551739975,64.21
4500,7.9879231452941895,7.9879231452941895,0.0,0.0,0.0008814009529719979,65.68
4600,7.703157901763916,7.703157901763916,0.0,0.0,0.0008763049794670604,67.15
4700,7.477016448974609,7.477016448974609,0.0,0.0,0.0008711173920143944,68.62
4800,7.265260219573975,7.265260219573975,0.0,0.0,0.0008658394705735819,70.07
4900,7.044673442840576,7.044673442840576,0.0,0.0,0.0008604725173927617,71.52
5000,6.815354347229004,6.815354347229004,0.0,0.0,0.0008550178566873241,72.98
5100,6.576735973358154,6.576735973358154,0.0,0.0,0.0008494768343131789,74.43
5200,6.325246810913086,6.325246810913086,0.0,0.0,0.000843850817434684,75.88
5300,6.063380241394043,6.063380241394043,0.0,0.0,0.0008381411941873207,77.33
5400,5.791574478149414,5.791574478149414,0.0,0.0,0.0008323493733351911,78.78
5500,5.507009506225586,5.507009506225586,0.0,0.0,0.0008264767839234247,80.23
5600,5.197279453277588,5.197279453277588,0.0,0.0,0.0008205248749255851,81.68
5700,4.894111633300781,4.894111633300781,0.0,0.0,0.0008144951148861579,83.13
5800,4.606690883636475,4.606690883636475,0.0,0.0,0.0008083889915582079,84.59
5900,4.327034950256348,4.327034950256348,0.0,0.0,0.0008022080115362974,86.04
6000,4.058283805847168,4.058283805847168,0.0,0.0,0.0007959536998847592,87.49
6100,3.9898555278778076,3.9898555278778076,0.0,0.0,0.000789627599761408,88.96
6200,3.593479871749878,3.593479871749878,0.0,0.0,0.0007832312720367897,90.43
6300,3.3045148849487305,3.3045148849487305,0.0,0.0,0.0007767662949090601,91.89
6400,3.0576093196868896,3.0576093196868896,0.0,0.0,0.0007702342635145877,93.36
6500,2.841068744659424,2.841068744659424,0.0,0.0,0.0007636367895343785,94.83
6600,2.6475296020507812,2.6475296020507812,0.0,0.0,0.0007569755007964176,96.3
6700,2.471843719482422,2.471843719482422,0.0,0.0,0.000750252040874026,97.77
6800,2.311790943145752,2.311790943145752,0.0,0.0,0.0007434680686803337,99.22
6900,2.165743827819824,2.165743827819824,0.0,0.0,0.000736625258058968,100.67
7000,2.032205104827881,2.032205104827881,0.0,0.0,0.0007297252973710594,102.13
7100,1.909440279006958,1.909440279006958,0.0,0.0,0.0007227698890786622,103.58
7200,1.79507577419281,1.79507577419281,0.0,0.0,0.0007157607493246949,105.03
7300,1.6879727840423584,1.6879727840423584,0.0,0.0,0.0007086996075095124,106.48
7400,1.5889257192611694,1.5889257192611694,0.0,0.0,0.0007015882058642007,107.93
7500,1.49702787399292,1.49702787399292,0.0,0.0,0.0006944282990207039,109.38
7600,1.4111372232437134,1.4111372232437134,0.0,0.0,0.0006872216535789006,110.84
7700,1.3304766416549683,1.3304766416549683,0.0,0.0,0.0006799700476707174,112.29
7800,1.2546616792678833,1.2546616792678833,0.0,0.0,0.0006726752705214036,113.74
7900,1.1838936805725098,1.1838936805725098,0.0,0.0,0.0006653391220080688,115.19
8000,1.1175888776779175,1.1175888776779175,0.0,0.0,0.0006579634122155837,116.64
8100,1.381004810333252,1.381004810333252,0.0,0.0,0.0006505499609899759,118.11
8200,1.2564642429351807,1.2564642429351807,0.0,0.0,0.0006431005974894033,119.58
8300,1.157681941986084,1.157681941986084,0.0,0.0,0.0006356171597328448,121.05
8400,1.071061372756958,1.071061372756958,0.0,0.0,0.0006281014941465886,122.52
8500,0.9929770827293396,0.9929770827293396,0.0,0.0,0.0006205554551086588,123.99
8600,0.922163188457489,0.922163188457489,0.0,0.0,0.000612980904491274,125.46
8700,0.8576457500457764,0.8576457500457764,0.0,0.0,0.0006053797112014595,126.93
8800,0.798592209815979,0.798592209815979,0.0,0.0,0.0005977537507199196,128.38
8900,0.7443287372589111,0.7443287372589111,0.0,0.0,0.0005901049046382941,129.83
9000,0.6943128108978271,0.6943128108978271,0.0,0.0,0.0005824350601949009,131.28
9100,0.6481054425239563,0.6481054425239563,0.0,0.0,0.00057474610980909,132.74
9200,0.6053379774093628,0.6053379774093628,0.0,0.0,0.0005670399506143167,134.19
9300,0.5657745003700256,0.5657745003700256,0.0,0.0,0.0005593184839900536,135.64
9400,0.5291881561279297,0.5291881561279297,0.0,0.0,0.0005515836150926511,137.09
9500,0.4951575994491577,0.4951575994491577,0.0,0.0,0.00054383725238527,138.54
9600,0.46363428235054016,0.46363428235054016,0.0,0.0,0.0005360813071669963,139.99
9700,0.43426042795181274,0.43426042795181274,0.0,0.0,0.0005283176931012589,141.44
9800,0.4071810841560364,0.4071810841560364,0.0,0.0,0.0005205483257436595,142.89
9900,0.38162511587142944,0.38162511587142944,0.0,0.0,0.0005127751220693373,144.34
10000,0.3579648733139038,0.3579648733139038,0.0,0.0,0.0005049999999999863,145.79
10100,0.32457399368286133,0.32457399368286133,0.0,0.0,0.0004972248779306347,147.26
10200,0.29917609691619873,0.29917609691619873,0.0,0.0,0.0004894516742563103,148.73
10300,0.27928799390792847,0.27928799390792847,0.0,0.0,0.0004816823068987103,150.2
10400,0.26278990507125854,0.26278990507125854,0.0,0.0,0.0004739186928329737,151.67
10500,0.2465537190437317,0.2465537190437317,0.0,0.0,0.00046616274761470094,153.14
10600,0.23234692215919495,0.23234692215919495,0.0,0.0,0.00045841638490731995,154.61
10700,0.21938025951385498,0.21938025951385498,0.0,0.0,0.00045068151600991733,156.08
10800,0.20707935094833374,0.20707935094833374,0.0,0.0,0.0004429600493856546,157.53
10900,0.1957085132598877,0.1957085132598877,0.0,0.0,0.0004352538901908818,158.98
11000,0.1851300299167633,0.1851300299167633,0.0,0.0,0.0004275649398050713,160.43
11100,0.1758914291858673,0.1758914291858673,0.0,0.0,0.00041989509536167807,161.89
11200,0.16586020588874817,0.16586020588874817,0.0,0.0,0.0004122462492800527,163.34
11300,0.15728583931922913,0.15728583931922913,0.0,0.0,0.0004046202887985129,164.79
11400,0.1489306092262268,0.1489306092262268,0.0,0.0,0.00039701909550869863,166.24
11500,0.14123931527137756,0.14123931527137756,0.0,0.0,0.00038944454489131454,167.69
11600,0.13402922451496124,0.13402922451496124,0.0,0.0,0.00038189850585338477,169.14
11700,0.1315542608499527,0.1315542608499527,0.0,0.0,0.0003743828402671282,170.59
11800,0.12090374529361725,0.12090374529361725,0.0,0.0,0.00036689940251056927,172.04
11900,0.11484856903553009,0.11484856903553009,0.0,0.0,0.0003594500390099976,173.5
12000,0.1092047393321991,0.1092047393321991,0.0,0.0,0.0003520365877843893,174.95
12100,0.11415635794401169,0.11415635794401169,0.0,0.0,0.0003446608779919047,176.41
12200,0.10769602656364441,0.10769602656364441,0.0,0.0,0.0003373247294785695,177.88
12300,0.09850896149873734,0.09850896149873734,0.0,0.0,0.0003300299523292568,179.35
12400,0.09282679110765457,0.09282679110765457,0.0,0.0,0.0003227783464210739,180.82
12500,0.08775070309638977,0.08775070309638977,0.0,0.0,0.0003155717009792704,182.29
12600,0.08309153467416763,0.08309153467416763,0.0,0.0,0.0003084117941357737,183.76
12700,0.07882022112607956,0.07882022112607956,0.0,0.0,0.0003013003924904615,185.22
12800,0.07482331991195679,0.07482331991195679,0.0,0.0,0.00029423925067527975,186.68
12900,0.07111772894859314,0.07111772894859314,0.0,0.0,0.0002872301109213133,188.13
13000,0.06763122975826263,0.06763122975826263,0.0,0.0,0.0002802747026289158,189.58
13100,0.06438730657100677,0.06438730657100677,0.0,0.0,0.00027337474194100777,191.03
13200,0.06154968589544296,0.06154968589544296,0.0,0.0,0.00026653193131964247,192.48
13300,0.05840397626161575,0.05840397626161575,0.0,0.0,0.0002597479591259502,193.94
13400,0.05568447709083557,0.05568447709083557,0.0,0.0,0.00025302449920355856,195.39
13500,0.053122714161872864,0.053122714161872864,0.0,0.0,0.0002463632104655994,196.84
13600,0.05070504546165466,0.05070504546165466,0.0,0.0,0.00023976573648539144,198.29
13700,0.04854747653007507,0.04854747653007507,0.0,0.0,0.00023323370509091977,199.74
13800,0.04653313755989075,0.04653313755989075,0.0,0.0,0.00022676872796319062,201.19
