step,total_loss,pde_loss,bc_loss,ic_loss,lr,wall_s
100,76.03539276123047,76.03539276123047,0.0,0.0,0.0009999389330784226,1.46
200,68.53520965576172,68.53520965576172,0.0,0.0,0.0009997557473810374,2.88
300,61.96894836425781,61.96894836425781,0.0,0.0,0.0009994504881061764,4.25
400,56.07140350341797,56.07140350341797,0.0,0.0,0.0009990232305719968,5.65
500,50.74592590332031,50.74592590332031,0.0,0.0,0.0009984740801979007,6.99
600,45.934539794921875,45.934539794921875,0.0,0.0,0.0009978031724785265,8.33
700,41.59369659423828,41.59369659423828,0.0,0.0,0.000997010672950316,9.8
800,37.686805725097656,37.686805725097656,0.0,0.0,0.000996096777150669,11.17
900,34.18128967285156,34.18128967285156,0.0,0.0,0.0009950617105696992,12.55
1000,31.047195434570312,31.047195434570312,0.0,0.0,0.0009939057285945968,13.92
1100,28.256507873535156,28.256507873535156,0.0,0.0,0.0009926291164466159,15.27
1200,25.782711029052734,25.782711029052734,0.0,0.0,0.0009912321891107038,16.63
1300,23.60055923461914,23.60055923461914,0.0,0.0,0.0009897152912577763,18.0
1400,21.685932159423828,21.685932159423828,0.0,0.0,0.0009880787971596815,19.35
1500,20.0157470703125,20.0157470703125,0.0,0.0,0.0009863231105968519,20.71
1600,18.56791877746582,18.56791877746582,0.0,0.0,0.000984448664758669,22.09
1700,17.321317672729492,17.321317672729492,0.0,0.0,0.0009824559221366018,23.43
1800,16.25580406188965,16.25580406188965,0.0,0.0,0.0009803453744100738,24.79
1900,15.352205276489258,15.352205276489258,0.0,0.0,0.0009781175423251554,26.15
2000,14.592375755310059,14.592375755310059,0.0,0.0,0.0009757729755660803,27.5
2100,13.842751502990723,13.842751502990723,0.0,0.0,0.0009733122526196142,28.87
2200,13.3480863571167,13.3480863571167,0.0,0.0,0.0009707359806323206,30.23
2300,12.943109512329102,12.943109512329102,0.0,0.0,0.0009680447952607636,31.6
2400,12.069414138793945,12.069414138793945,0.0,0.0,0.0009652393605146641,32.97
2500,10.420816421508789,10.420816421508789,0.0,0.0,0.000962320368593067,34.38
2600,8.855778694152832,8.855778694152832,0.0,0.0,0.0009592885397135511,35.71
2700,8.103323936462402,8.103323936462402,0.0,0.0,0.0009561446219345261,37.05
2800,7.500626564025879,7.500626564025879,0.0,0.0,0.0009528893909706607,38.38
2900,6.968318939208984,6.968318939208984,0.0,0.0,0.0009495236500014861,39.76
3000,6.490414619445801,6.490414619445801,0.0,0.0,0.0009460482294732238,41.13
3100,6.057586669921875,6.057586669921875,0.0,0.0,0.0009424639868938849,42.48
3200,5.659923553466797,5.659923553466797,0.0,0.0,0.0009387718066216949,43.84
3300,5.293426513671875,5.293426513671875,0.0,0.0,0.0009349725996468866,45.21
3400,4.955255508422852,4.955255508422852,0.0,0.0,0.000931067303366934,46.63
3500,4.6430888175964355,4.6430888175964355,0.0,0.0,0.0009270568813552582,48.06
3600,4.354222297668457,4.354222297668457,0.0,0.0,0.0009229423231234799,49.39
3700,4.086250305175781,4.086250305175781,0.0,0.0,0.000918724643877276,50.73
