step,total_loss,pde_loss,bc_loss,ic_loss,lr,wall_s
100,0.19495096802711487,0.04118776321411133,0.0008100694976747036,0.0007275624666363001,0.0009999389330784226,9.21
200,0.08344312757253647,0.011324862949550152,0.00029216904658824205,0.00042901362758129835,0.0009997557473810374,18.17
300,0.04958713427186012,0.005316008813679218,0.00015570397954434156,0.00028700727852992713,0.0009994504881061764,27.07
400,0.03345765918493271,0.003019256517291069,0.00010022628703154624,0.00020415772451087832,0.0009990232305719968,36.0
500,0.02467501536011696,0.002057037316262722,7.1150810981635e-05,0.0001550289598526433,0.0009984740801979007,44.93
600,0.020935451611876488,0.0032336919102817774,5.329242776497267e-05,0.00012372515629976988,0.0009978031724785265,53.87
700,0.021840041503310204,0.007566490676254034,4.1439150663791224e-05,0.00010129635484190658,0.000997010672950316,62.86
800,0.023079294711351395,0.01130551379173994,3.326329169794917e-05,8.447452273685485e-05,0.000996096777150669,71.91
900,0.0234700795263052,0.013545691967010498,2.7331410819897428e-05,7.191245822468773e-05,0.0009950617105696992,80.89
1000,0.023349924013018608,0.01482703723013401,2.2819865989731625e-05,6.240900256671011e-05,0.0009939057285945968,89.84
1100,0.022964928299188614,0.015510769560933113,1.9318134945933707e-05,5.522345600184053e-05,0.0009926291164466159,98.82
1200,0.02243625931441784,0.01578221470117569,1.6613526895525865e-05,4.992691538063809e-05,0.0009912321891107038,107.93
1300,0.02182069793343544,0.015736840665340424,1.4574404303857591e-05,4.626415829989128e-05,0.0009897152912577763,117.29
1400,0.02112731710076332,0.015409229323267937,1.309562230744632e-05,4.408526001498103e-05,0.0009880787971596815,126.98
1500,0.02034899592399597,0.01481328159570694,1.207726563734468e-05,4.327987335273065e-05,0.0009863231105968519,136.65
1600,0.019474774599075317,0.013961012475192547,1.1422896022850182e-05,4.371472823549993e-05,0.000984448664758669,146.41
1700,0.018511168658733368,0.012887679040431976,1.1045152859878726e-05,4.5189750380814075e-05,0.0009824559221366018,156.04
