step,total_loss,pde_loss,bc_loss,ic_loss,lr,wall_s
100,14.664496421813965,5.347506523132324,0.02430109679698944,0.06886880099773407,0.0009999389330784226,1.5
200,9.226625442504883,3.2184205055236816,0.015691854059696198,0.04439019411802292,0.0009997557473810374,2.81
300,6.241057872772217,2.635331153869629,0.009818825870752335,0.026238441467285156,0.0009994504881061764,4.12
400,4.350433349609375,2.1649250984191895,0.006334714591503143,0.01552036963403225,0.0009990232305719968,5.43
500,3.1201281547546387,1.7150154113769531,0.00439841952174902,0.009652706794440746,0.0009984740801979007,6.75
600,2.312467098236084,1.3456010818481445,0.003321516327559948,0.006347142159938812,0.0009978031724785265,8.06
700,1.7675399780273438,1.0647714138031006,0.002658100798726082,0.00436958484351635,0.000997010672950316,9.37
800,1.3855969905853271,0.8557543754577637,0.0021915368270128965,0.003106889547780156,0.000996096777150669,10.68
900,1.1088933944702148,0.6989548206329346,0.0018359529785811901,0.002263433299958706,0.0009950617105696992,11.99
1000,0.9036125540733337,0.5793211460113525,0.001556765171699226,0.0016861490439623594,0.0009939057285945968,13.31
1100,0.7487555742263794,0.48666641116142273,0.001335478387773037,0.0012854135129600763,0.0009926291164466159,14.62
1200,0.6303015351295471,0.41410449147224426,0.0011583478190004826,0.0010036226594820619,0.0009912321891107038,15.93
1300,0.5383868217468262,0.35674434900283813,0.0010142105165868998,0.0008022141410037875,0.0009897152912577763,17.24
1400,0.46592673659324646,0.3109557032585144,0.000894494412932545,0.0006552159320563078,0.0009880787971596815,18.55
1500,0.4078192412853241,0.27398544549942017,0.0007930644205771387,0.000545273651368916,0.0009863231105968519,19.87
1600,0.3604016900062561,0.24374234676361084,0.000705700134858489,0.00046089309034869075,0.000984448664758669,21.18
1700,0.32105010747909546,0.21864578127861023,0.0006295390776358545,0.00039450422627851367,0.0009824559221366018,22.49
1800,0.28788307309150696,0.1975116729736328,0.0005626076017506421,0.00034110640990547836,0.0009803453744100738,23.8
1900,0.25954753160476685,0.17946156859397888,0.000503508432302624,0.00029735133284702897,0.0009781175423251554,25.12
2000,0.23506182432174683,0.1638457179069519,0.00045120168942958117,0.00026095943758264184,0.0009757729755660803,26.43
2100,0.2371961623430252,0.1716233789920807,0.00040666619315743446,0.0002490616461727768,0.0009733122526196142,27.75
2200,0.2086750566959381,0.15087994933128357,0.000361568876542151,0.00021638217731378973,0.0009707359806323206,29.06
2300,0.18727247416973114,0.1359250843524933,0.00032291217939928174,0.00019056169549003243,0.0009680447952607636,30.37
2400,0.16966383159160614,0.1237550601363182,0.00028964842204004526,0.00016943927039392292,0.0009652393605146641,31.69
2500,0.15466955304145813,0.11341428756713867,0.00026082657859660685,0.0001517260679975152,0.000962320368593067,33.0
2600,0.14167064428329468,0.10443320870399475,0.00023573442013002932,0.00013663990830536932,0.0009592885397135511,34.31
2700,0.13027115166187286,0.09652291238307953,0.00021382079285103828,0.0001236616080859676,0.0009561446219345261,35.62
2800,0.12019006162881851,0.0894843190908432,0.00019463921489659697,0.00011241823813179508,0.0009528893909706607,36.93
2900,0.11121443659067154,0.08317118883132935,0.00017781260248739272,0.00010261987335979939,0.0009495236500014861,38.24
3000,0.10317756235599518,0.07747125625610352,0.00016301765572279692,9.404538286617026e-05,0.0009460482294732238,39.55
3100,0.09617385268211365,0.07246076315641403,0.00014963386638555676,8.749699918553233e-05,0.0009424639868938849,40.87
3200,0.0894940197467804,0.06758971512317657,0.0001386092626489699,8.04337760200724e-05,0.0009387718066216949,42.18
3300,0.08366284519433975,0.06337319314479828,0.00012856819375883788,7.432831625919789e-05,0.0009349725996468866,43.49
3400,0.08194766938686371,0.06298918277025223,0.00011902860569534823,7.055627065710723e-05,0.000931067303366934,44.8
3500,0.07352718710899353,0.05586850270628929,0.00011146308679599315,6.5123793319799e-05,0.0009270568813552582,46.11
3600,0.06911751627922058,0.05262764170765877,0.00010439381730975583,6.050493902876042e-05,0.0009229423231234799,47.43
3700,0.06529608368873596,0.04987378045916557,9.796200174605474e-05,5.6261073041241616e-05,0.000918724643877276,48.74
3800,0.06157681718468666,0.046963177621364594,9.159121691482142e-05,5.454518395708874e-05,0.0009144048842658908,50.05
3900,0.05791154503822327,0.044219642877578735,8.657722355565056e-05,5.034181958762929e-05,0.0009099841101253696,51.36
4000,0.09605094790458679,0.08240345120429993,8.197637362172827e-05,5.449856325867586e-05,0.0009054634122155817,52.67
4100,0.06641469150781631,0.05375488102436066,7.834847929188982e-05,4.824961069971323e-05,0.0009008439059510924,53.99
4200,0.057964980602264404,0.04603291302919388,7.370056118816137e-05,4.562010508379899e-05,0.0008961267311259493,55.3
4300,0.05326380580663681,0.042067985981702805,6.980155740166083e-05,4.215664375806227e-05,0.0008913130516324556,56.61
4400,0.05005635321140289,0.03936576843261719,6.535609281854704e-05,4.1549730667611584e-05,0.0008864040551739975,57.93
4500,0.36140573024749756,0.3452453017234802,8.753364090807736e-05,7.407065277220681e-05,0.0008814009529719979,59.25
4600,0.04325936734676361,0.03370964527130127,5.928444443270564e-05,3.621277573984116e-05,0.0008763049794670604,60.58
4700,0.14494119584560394,0.1339537799358368,6.107410445110872e-05,4.8800000513438135e-05,0.0008711173920143944,61.91
4800,0.03823737055063248,0.02964717149734497,5.3598480008076876e-05,3.2303520129062235e-05,0.0008658394705735819,63.24
4900,0.037652622908353806,0.029452163726091385,5.1225797506049275e-05,3.0778785003349185e-05,0.0008604725173927617,64.57
5000,0.034303877502679825,0.026575252413749695,4.7924131649779156e-05,2.9362116038100794e-05,0.0008550178566873241,65.9
5100,0.03234705328941345,0.025046775117516518,4.576588253257796e-05,2.723689794947859e-05,0.0008494768343131789,67.23
5200,0.03205304965376854,0.024907024577260017,4.344442277215421e-05,2.8015836505801417e-05,0.000843850817434684,68.55
5300,0.02915235236287117,0.022479547187685966,4.169746534898877e-05,2.5030596589203924e-05,0.0008381411941873207,69.88
5400,0.028278261423110962,0.02178788371384144,3.981098416261375e-05,2.5092802388826385e-05,0.0008323493733351911,71.21
5500,0.02943926304578781,0.023223670199513435,3.8547943404410034e-05,2.3607986804563552e-05,0.0008264767839234247,72.53
5600,0.025262417271733284,0.019453249871730804,3.596294118324295e-05,2.2128730051917955e-05,0.0008205248749255851,73.86
5700,0.023941855877637863,0.018454715609550476,3.4393662645015866e-05,2.047773523372598e-05,0.0008144951148861579,75.19
5800,0.055719394236803055,0.04964287579059601,3.55166666849982e-05,2.524852243368514e-05,0.0008083889915582079,76.52
5900,0.022206254303455353,0.01715872809290886,3.136412124149501e-05,1.9111128494841978e-05,0.0008022080115362974,77.85
6000,0.021176083013415337,0.01634049415588379,2.9735299904132262e-05,1.8620585251483135e-05,0.0007959536998847592,79.17
