step,total_loss,pde_loss,bc_loss,ic_loss,lr,wall_s
100,7.256037712097168,0.8568332195281982,0.015552792698144913,0.048439256846904755,0.0009999389330784226,1.17
200,5.849748611450195,0.6349245309829712,0.016152648255228996,0.035995595157146454,0.0009997557473810374,2.22
300,5.213308334350586,0.481650173664093,0.016169171780347824,0.031147409230470657,0.0009994504881061764,3.25
400,4.605934143066406,0.5711829662322998,0.01526109129190445,0.02508641965687275,0.0009990232305719968,4.29
500,4.156857490539551,0.5308228731155396,0.013908966444432735,0.022351380437612534,0.0009984740801979007,5.32
600,3.127535104751587,0.25371479988098145,0.01135572325438261,0.017382480204105377,0.0009978031724785265,6.36
700,2.1993248462677,0.3437984585762024,0.007935652509331703,0.010619611479341984,0.000997010672950316,7.39
800,1.3906681537628174,0.3006724715232849,0.0049921562895178795,0.005907800048589706,0.000996096777150669,8.43
900,1.2039506435394287,0.2750723361968994,0.0045116618275642395,0.004777120891958475,0.0009950617105696992,9.47
1000,0.5488736629486084,0.18813645839691162,0.0020629193168133497,0.0015444527380168438,0.0009939057285945968,10.5
1100,0.39800000190734863,0.15511365234851837,0.0014418221544474363,0.0009870413923636079,0.0009926291164466159,11.54
1200,1.5763300657272339,0.17747655510902405,0.0067406706511974335,0.007247865200042725,0.0009912321891107038,12.57
1300,0.2291935384273529,0.11630160361528397,0.0007043932564556599,0.00042452599154785275,0.0009897152912577763,13.61
1400,0.17425906658172607,0.0967274084687233,0.000495743122883141,0.00027957343263551593,0.0009880787971596815,14.64
1500,0.347245454788208,0.09143095463514328,0.0011119811097159982,0.0014461639802902937,0.0009863231105968519,15.68
1600,0.11257490515708923,0.0688929632306099,0.00028954411391168833,0.0001472753065172583,0.000984448664758669,16.71
1700,0.09138621389865875,0.05790851265192032,0.00022351117513608187,0.00011126579192932695,0.0009824559221366018,17.75
1800,0.0745985209941864,0.04855942353606224,0.00017379838391207159,8.659255399834365e-05,0.0009803453744100738,18.78
